'0.jpg'	3	7	12	15	38	42	39	24	6	1	52.9679144385027	17.7667308339897
'1.jpg'	0	0	0	0	3	5	14	39	55	71	83.7700534759358	11.7042686804744
'2.jpg'	2	1	0	1	6	16	21	50	45	45	77.1390374331551	16.4405239886078
'3.jpg'	0	0	0	1	4	5	13	40	69	55	82.4866310160428	11.9979313229251
'4.jpg'	3	4	16	17	40	44	38	18	7	0	51.8983957219251	17.0875489458580
'5.jpg'	0	0	3	1	2	9	19	43	54	56	80.5614973262032	14.3329474935992
'6.jpg'	1	5	12	23	32	37	35	35	5	2	54.4117647058824	17.7377349532244
'7.jpg'	38	27	55	28	24	11	2	2	0	0	26.2834224598930	16.0367189973887
'8.jpg'	3	2	5	4	24	42	43	46	14	4	61.5775401069519	16.8048926012427
'9.jpg'	2	7	12	19	32	38	33	30	9	5	54.7860962566845	19.2355847616969
'10.jpg'	1	2	3	9	23	35	44	36	23	11	63.8770053475936	17.4073822810030
'11.jpg'	0	0	1	1	3	8	21	42	65	46	80.4545454545455	12.9656814881109
'12.jpg'	0	0	2	2	5	11	13	42	61	51	80.0802139037433	14.6389336552862
'13.jpg'	13	18	47	32	39	21	13	2	2	0	35.8556149732620	17.2529314883780
'14.jpg'	3	8	22	25	35	36	33	17	7	1	49.3315508021390	18.7284912426503
'15.jpg'	3	2	6	12	33	36	46	36	11	2	58.2620320855615	17.0419677675245
'16.jpg'	3	3	6	18	27	46	52	26	4	2	55.8556149732620	16.3293478792607
'17.jpg'	82	45	32	18	2	5	3	0	0	0	16.4438502673797	13.7801997819718
'18.jpg'	6	11	21	41	41	40	18	7	2	0	43.1283422459893	16.6827779182615
'19.jpg'	13	29	41	29	30	27	7	7	4	0	35.8021390374332	19.1503590595323
'20.jpg'	0	0	1	1	4	7	17	51	67	39	79.9732620320856	12.6395665815661
'21.jpg'	1	0	3	5	9	23	39	43	46	18	71.1497326203209	16.4540857671030
'22.jpg'	19	32	44	40	24	15	9	3	1	0	31.4171122994652	17.2585660728559
'23.jpg'	0	0	0	1	4	5	13	35	74	55	82.7540106951872	11.9393934071362
'24.jpg'	2	7	18	30	41	39	28	19	2	1	48.7433155080214	17.1466900415718
'25.jpg'	3	16	20	32	37	35	21	19	3	1	46.0160427807487	18.8587419794189
'26.jpg'	1	3	3	8	25	15	51	44	28	9	65.2673796791444	17.6548354279935
'27.jpg'	3	6	22	30	37	45	22	16	3	3	48.2085561497326	17.9236148578642
'28.jpg'	62	52	33	23	8	5	4	0	0	0	19.3315508021390	14.6968372766816
'29.jpg'	3	2	4	4	12	25	55	52	25	5	65.6417112299465	16.7911032357565
'30.jpg'	4	13	30	36	36	32	22	13	0	1	43.3422459893048	17.8205697791905
'31.jpg'	12	27	34	31	34	27	13	8	1	0	37.1390374331551	18.6931863000059
'32.jpg'	2	4	17	15	26	32	43	32	13	3	56.3368983957219	19.1484177033111
'33.jpg'	1	1	0	3	3	11	24	44	67	33	77.8342245989305	14.8428237512989
'34.jpg'	1	10	23	35	40	39	19	18	2	0	46.2834224598930	16.9762304114298
'35.jpg'	2	5	16	22	27	50	27	30	5	3	53.1283422459893	18.2444658353016
'36.jpg'	10	30	42	42	29	20	9	4	1	0	34.1978609625668	16.8319277629142
'37.jpg'	11	24	40	29	36	27	10	10	0	0	37.0855614973262	18.2212532391300
'38.jpg'	2	0	1	3	4	8	25	34	62	48	78.9572192513369	16.1661919879244
'39.jpg'	0	1	2	5	19	24	36	49	36	15	69.0641711229947	16.3372265998873
'40.jpg'	2	1	1	2	3	11	23	48	52	44	77.8342245989305	16.3186617626862
'41.jpg'	0	0	0	2	3	9	32	44	52	45	79.0106951871658	13.2624633360969
'42.jpg'	27	37	45	31	20	16	7	4	0	0	29.0641711229947	17.6282511995871
